Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Phytotherapist,Entertainment,Decreasing,Moderate,40339.78,Master’s Degree,13,9824,5254,33.59,86.89,Canada,50.54
Logistics and distribution manager,IT,Increasing,High,66347.51,Bachelor’s Degree,19,5091,8140,42.4,7.92,Australia,76.58
"Production designer, theatre/television/film",IT,Increasing,Low,76406.23,Bachelor’s Degree,20,2968,4178,90.06,3.68,India,35.99
Commercial/residential surveyor,IT,Decreasing,High,30361.82,PhD,13,1838,2807,4.17,20.17,India,72.14
Fine artist,IT,Increasing,Moderate,130625.67,High School,9,1439,3012,39.55,29.55,UK,43.72
Physiological scientist,Retail,Increasing,High,149060.35,PhD,11,8756,5846,92.56,71.08,Germany,64.47
Early years teacher,Education,Decreasing,Low,124731.83,Bachelor’s Degree,7,2794,5511,65.01,54.08,Australia,42.34
Optometrist,Manufacturing,Decreasing,Moderate,67915.58,Bachelor’s Degree,20,4767,8546,83.05,39.9,India,55.29
Radio producer,Retail,Increasing,Low,40760.98,PhD,3,7000,8089,14.65,73.14,UK,23.15
"Copywriter, advertising",Manufacturing,Decreasing,Moderate,124625.21,PhD,6,7330,7772,87.58,1.49,Canada,52.51
General practice doctor,Entertainment,Increasing,Low,54474.29,Bachelor’s Degree,3,5479,9146,18.93,13.75,Australia,32.44
Agricultural consultant,IT,Decreasing,Moderate,98507.81,Associate Degree,6,3990,9443,29.24,14.11,Australia,47.16
Environmental education officer,Manufacturing,Decreasing,Low,89414.77,Bachelor’s Degree,12,2640,3810,19.89,34.34,Australia,78.4
Rural practice surveyor,Transportation,Decreasing,High,75419.39,Associate Degree,0,1434,8201,0.43,97.27,Canada,56.4
Ranger/warden,Transportation,Decreasing,High,139842.65,High School,4,4257,7082,42.8,83.33,Brazil,58.77
Web designer,IT,Increasing,Moderate,148015.77,Bachelor’s Degree,19,4172,2112,80.1,92.8,Canada,35.12
"Engineer, site",Manufacturing,Increasing,Low,71319.13,PhD,6,8163,5263,15.69,65.52,USA,41.25
"Embryologist, clinical",Healthcare,Increasing,High,73373.7,Master’s Degree,9,1802,4297,32.99,67.99,China,32.18
Clinical research associate,Entertainment,Increasing,Low,57260.97,PhD,5,7198,3374,56.11,77.02,Germany,63.3
"Surveyor, rural practice",Finance,Increasing,Moderate,136116.8,PhD,5,8418,8973,64.77,42.54,USA,74.65
Bookseller,Manufacturing,Increasing,Moderate,144627.4,High School,7,6134,4087,74.55,48.6,Brazil,67.49
Early years teacher,Finance,Increasing,Low,61015.95,Bachelor’s Degree,11,3795,7143,38.52,67.94,Brazil,61.43
Geophysicist/field seismologist,Entertainment,Increasing,High,89396.79,Master’s Degree,6,2706,8269,24.12,53.3,China,28.33
Tourism officer,Education,Decreasing,Moderate,130389.31,High School,11,1805,8540,16.37,16.03,Australia,65.72
"Engineer, automotive",Entertainment,Increasing,Low,81468.84,Master’s Degree,4,2341,9726,19.35,1.8,Germany,73.66
Transport planner,Entertainment,Decreasing,Moderate,110113.06,Master’s Degree,8,5582,4567,64.12,21.92,Brazil,34.08
Furniture conservator/restorer,Entertainment,Decreasing,High,113451.73,High School,3,9785,3720,99.15,93.83,Brazil,56.57
Management consultant,Healthcare,Increasing,Moderate,125192.25,Bachelor’s Degree,12,8655,8559,77.24,78.34,India,21.47
"Designer, ceramics/pottery",Finance,Increasing,High,115888.83,Master’s Degree,14,1449,9734,91.73,21.32,India,52.83
"Psychologist, educational",Finance,Decreasing,Moderate,33015.18,High School,19,1158,2196,42.1,20.85,Australia,53.33
Research scientist (maths),Retail,Decreasing,Moderate,107831.45,Associate Degree,7,2254,4993,3.6,24.29,USA,67.04
Insurance account manager,Manufacturing,Decreasing,High,105773.6,Bachelor’s Degree,5,5415,4591,94.83,47.93,Canada,68.86
Occupational hygienist,Healthcare,Decreasing,High,76209.21,High School,10,3523,2802,67.74,2.21,India,38.13
Advertising account planner,Transportation,Increasing,Moderate,47727.07,Master’s Degree,18,4515,7709,97.02,37.41,India,69.77
Purchasing manager,Manufacturing,Decreasing,Low,83895.64,Associate Degree,15,9287,9566,84.04,34.86,Canada,38.37
Chief Marketing Officer,Transportation,Increasing,High,142327.01,Master’s Degree,12,7956,4261,3.08,43.9,USA,45.97
Retail manager,Healthcare,Decreasing,High,66531.68,Master’s Degree,4,6405,5497,94.55,65.09,China,32.04
Quality manager,Entertainment,Decreasing,High,149877.83,High School,13,9902,7925,48.13,70.76,China,63.71
Environmental consultant,IT,Increasing,High,119246.27,Bachelor’s Degree,20,507,6283,15.51,94.06,USA,50.89
Television production assistant,IT,Increasing,Low,111223.4,Master’s Degree,5,3507,3030,4.09,64.93,Germany,20.19
"Scientist, clinical (histocompatibility and immunogenetics)",IT,Increasing,Low,149674.55,Associate Degree,5,455,5616,4.85,20.62,Australia,22.71
Energy manager,IT,Increasing,Moderate,41367.62,Bachelor’s Degree,17,6146,7397,77.61,65.65,Germany,59.79
"Psychologist, counselling",Manufacturing,Decreasing,Low,65730.1,Bachelor’s Degree,12,2382,1416,53.65,63.88,Australia,74.73
"Scientist, biomedical",Healthcare,Decreasing,Low,105455.48,PhD,1,9003,9626,96.06,39.65,China,62.12
"Horticulturist, amenity",Education,Decreasing,High,31569.08,Associate Degree,5,4066,8917,32.09,34.67,UK,55.21
Armed forces operational officer,IT,Decreasing,Low,133647.81,Master’s Degree,9,1204,2318,58.56,49.09,Canada,51.97
"Scientist, research (medical)",Healthcare,Increasing,Moderate,65951.02,Associate Degree,1,2930,300,57.55,69.21,Germany,31.57
Architect,Retail,Decreasing,High,107399.38,High School,3,5800,8671,51.09,11.87,India,57.67
Medical technical officer,Transportation,Increasing,Moderate,98653.15,Bachelor’s Degree,2,3151,8080,85.31,22.66,China,70.05
Training and development officer,IT,Decreasing,Moderate,105972.77,PhD,12,3676,8188,49.13,80.14,UK,66.6
"Engineer, biomedical",Education,Increasing,Low,73230.01,Bachelor’s Degree,13,6617,9490,44.2,26.53,Canada,58.65
Airline pilot,Education,Increasing,High,78097.98,Master’s Degree,5,8527,1355,56.53,65.11,UK,27.44
Warehouse manager,Transportation,Increasing,Low,129709.39,Associate Degree,15,7451,8578,23.94,76.94,Canada,46.73
Armed forces training and education officer,Education,Increasing,High,74236.44,Master’s Degree,15,7700,5716,82.5,94.66,Australia,45.92
"Administrator, education",Transportation,Increasing,Moderate,52640.23,Bachelor’s Degree,0,2292,1590,1.03,21.3,UK,26.27
"Designer, exhibition/display",Education,Decreasing,Moderate,68406.32,PhD,18,7710,939,51.96,49.06,USA,36.59
Multimedia specialist,Manufacturing,Increasing,High,142118.22,Associate Degree,7,9525,1243,61.38,57.54,Germany,42.44
Industrial buyer,Retail,Increasing,High,40181.27,Associate Degree,2,4846,3501,19.66,71.34,Germany,63.25
Insurance risk surveyor,Manufacturing,Decreasing,Low,87643.94,Bachelor’s Degree,19,8231,5971,64.52,78.81,UK,72.53
Games developer,Retail,Decreasing,Moderate,31419.36,Master’s Degree,15,8325,4503,22.14,90.38,Australia,44.64
"Research officer, trade union",IT,Decreasing,Moderate,44480.36,High School,4,109,6684,67.65,55.61,UK,50.0
"Investment banker, operational",Education,Decreasing,High,76105.33,Bachelor’s Degree,0,823,4209,87.0,27.51,Brazil,60.35
"Engineer, building services",Manufacturing,Decreasing,Moderate,64697.02,Bachelor’s Degree,0,1849,8384,39.09,4.72,USA,30.63
"Therapist, sports",Finance,Increasing,High,68552.25,PhD,0,7275,5262,52.29,3.35,Canada,62.17
Applications developer,IT,Decreasing,Low,84929.82,Associate Degree,8,9950,7504,37.34,21.77,Germany,45.14
Insurance claims handler,Manufacturing,Decreasing,Moderate,92626.4,High School,10,5077,8591,81.84,24.96,India,20.39
Professor Emeritus,Healthcare,Decreasing,High,130024.0,PhD,0,3883,9850,97.57,11.63,China,20.02
"Therapist, music",Finance,Decreasing,Moderate,34250.57,Bachelor’s Degree,2,8690,732,86.95,29.09,UK,39.89
Radio producer,Entertainment,Decreasing,High,48935.41,Bachelor’s Degree,7,5541,858,56.03,89.01,Canada,61.93
Forensic scientist,IT,Decreasing,High,41027.47,PhD,3,8524,6135,62.11,74.47,Australia,47.7
"Development worker, community",Finance,Decreasing,High,101701.78,Bachelor’s Degree,1,3051,418,9.12,18.67,India,54.95
"Surveyor, land/geomatics",Retail,Increasing,Moderate,31919.74,Bachelor’s Degree,18,7505,4301,84.67,1.74,Brazil,68.69
Medical laboratory scientific officer,Healthcare,Increasing,Moderate,113132.73,PhD,3,453,6327,57.42,99.42,Canada,53.99
Dance movement psychotherapist,Manufacturing,Increasing,Moderate,40927.1,Bachelor’s Degree,2,4390,8256,91.27,44.18,UK,39.65
Event organiser,Retail,Increasing,Low,138516.47,Bachelor’s Degree,7,7084,9816,81.49,14.33,Australia,32.72
Podiatrist,Entertainment,Increasing,Moderate,126636.26,Associate Degree,19,8905,8173,42.22,38.47,Germany,62.19
Event organiser,Manufacturing,Decreasing,Moderate,35880.89,PhD,1,6674,3367,73.17,78.36,Canada,69.51
Science writer,Healthcare,Increasing,High,91942.91,PhD,6,4314,5773,91.67,68.31,Canada,65.21
Make,IT,Decreasing,Low,71847.59,Bachelor’s Degree,13,2702,9097,65.92,35.35,Germany,65.61
Pharmacologist,Education,Decreasing,High,148575.54,Associate Degree,9,9393,8115,46.78,84.41,Australia,56.39
Sport and exercise psychologist,Education,Increasing,Low,62799.61,Bachelor’s Degree,7,736,2321,2.9,59.23,UK,61.53
Operational researcher,Healthcare,Increasing,Moderate,128708.26,Master’s Degree,11,1253,6264,2.35,24.63,Australia,68.94
Minerals surveyor,Entertainment,Increasing,Low,68523.32,High School,16,8141,5908,23.5,21.56,India,29.83
Company secretary,Manufacturing,Decreasing,High,38122.07,PhD,0,6318,9184,70.07,89.68,India,31.34
"Engineer, petroleum",Manufacturing,Decreasing,Low,133135.29,High School,5,5506,6195,47.21,40.98,Brazil,37.66
"Administrator, charities/voluntary organisations",Manufacturing,Decreasing,Moderate,83865.28,PhD,10,9283,3302,49.13,78.22,China,51.15
"Teacher, primary school",Retail,Increasing,High,86775.92,PhD,20,609,3830,79.83,84.09,USA,50.36
"Producer, radio",Entertainment,Increasing,High,107134.03,High School,16,3938,3641,19.62,51.35,Canada,49.59
Pharmacologist,Finance,Increasing,High,79238.9,Associate Degree,14,3713,5958,61.19,53.69,Canada,40.48
Pharmacologist,Retail,Decreasing,High,86030.71,PhD,11,2909,3479,96.59,44.67,India,38.24
Production manager,Retail,Increasing,Low,30584.27,High School,10,3263,8098,2.2,74.28,Brazil,35.72
"Doctor, hospital",Education,Decreasing,Low,73710.32,Associate Degree,11,1901,1424,24.89,66.61,India,45.52
Secretary/administrator,Education,Increasing,Low,100855.95,Bachelor’s Degree,11,267,4319,14.45,47.08,UK,54.23
"Presenter, broadcasting",Entertainment,Decreasing,Moderate,148861.69,PhD,20,3178,6759,91.09,87.3,UK,42.68
Race relations officer,Transportation,Decreasing,Moderate,55962.68,PhD,10,8061,9779,57.92,19.12,Brazil,45.25
Licensed conveyancer,Finance,Increasing,Moderate,51024.56,Master’s Degree,14,6373,3780,73.74,91.49,China,44.29
Set designer,Finance,Increasing,High,47328.91,Bachelor’s Degree,16,1268,5656,51.12,48.22,India,24.77
Patent examiner,Entertainment,Decreasing,Low,73184.39,PhD,19,9479,1283,71.6,72.39,UK,23.91
Radio broadcast assistant,Healthcare,Decreasing,Low,87384.35,Master’s Degree,6,5714,2375,58.33,0.85,India,71.31
Public librarian,Healthcare,Decreasing,Moderate,53044.58,Associate Degree,16,9196,2462,8.69,53.54,Brazil,42.1
Systems developer,Finance,Increasing,High,133844.36,Bachelor’s Degree,1,9712,5630,67.71,70.5,India,64.7
"Investment banker, operational",Finance,Decreasing,Moderate,131058.43,Associate Degree,14,6825,8349,73.3,85.94,USA,48.49
Economist,Retail,Decreasing,High,119634.17,Associate Degree,0,2390,1315,0.15,62.08,Australia,53.21
Film/video editor,Education,Decreasing,Low,96134.0,PhD,10,9168,9774,78.01,2.78,USA,28.61
Transport planner,Transportation,Increasing,Moderate,32556.32,High School,14,9587,6341,74.52,7.53,Germany,33.47
Estate manager/land agent,Finance,Decreasing,High,142781.69,Master’s Degree,12,4878,8031,48.26,40.54,India,76.13
Music therapist,Retail,Decreasing,High,117270.54,Bachelor’s Degree,9,8019,1743,30.93,81.58,Brazil,21.16
Event organiser,Manufacturing,Decreasing,Moderate,119459.04,Associate Degree,10,7663,9323,14.93,83.86,Brazil,71.03
"Editor, commissioning",Entertainment,Decreasing,High,37099.43,Bachelor’s Degree,3,8527,2526,99.86,73.53,India,74.29
Special educational needs teacher,Entertainment,Decreasing,Moderate,81117.05,PhD,13,8065,9719,78.68,1.42,UK,26.99
Sport and exercise psychologist,Entertainment,Decreasing,High,147003.27,High School,8,1058,3832,76.26,27.97,Canada,76.69
Legal secretary,Manufacturing,Decreasing,Low,127712.36,Master’s Degree,10,730,1727,53.55,71.83,China,27.4
"Scientist, water quality",IT,Decreasing,High,69436.0,Master’s Degree,14,2756,6807,32.45,28.68,China,21.24
"Engineer, building services",Finance,Increasing,Low,111391.61,Associate Degree,12,8074,212,44.85,60.7,India,50.55
Field seismologist,Healthcare,Increasing,Moderate,103554.14,Master’s Degree,10,7187,2136,92.41,51.03,UK,74.01
Health service manager,IT,Decreasing,Low,109662.27,Associate Degree,6,458,9343,69.98,27.77,China,30.23
Advice worker,Finance,Increasing,High,138621.04,High School,9,1880,6911,11.1,42.2,USA,73.91
Tourist information centre manager,Entertainment,Increasing,Low,113642.25,Associate Degree,0,9644,5425,46.68,65.97,China,70.12
Psychiatrist,Entertainment,Decreasing,Moderate,62791.04,Associate Degree,1,777,1728,24.89,52.29,Canada,21.07
Amenity horticulturist,Healthcare,Increasing,Low,99070.57,Associate Degree,5,177,4269,55.74,15.27,UK,71.63
Insurance account manager,Entertainment,Increasing,Moderate,125982.77,PhD,11,4456,7368,37.18,9.09,UK,39.85
"Scientist, forensic",Retail,Increasing,High,141138.08,High School,7,7175,4250,42.79,82.61,China,21.27
"Psychologist, sport and exercise",Entertainment,Increasing,Moderate,91350.6,PhD,1,8965,6676,12.04,54.59,Brazil,63.66
Insurance broker,Finance,Decreasing,Low,96852.04,High School,9,7881,6129,12.2,42.73,USA,72.1
Housing manager/officer,Finance,Decreasing,Moderate,39726.78,Bachelor’s Degree,20,7318,1302,31.48,36.18,Brazil,63.8
Broadcast presenter,Entertainment,Increasing,Low,30246.72,Bachelor’s Degree,18,3068,9160,56.88,55.53,Canada,48.64
"Research officer, trade union",Education,Decreasing,Low,55031.74,Associate Degree,17,4659,6293,79.66,37.6,India,64.31
"Buyer, retail",Entertainment,Decreasing,High,122388.49,High School,0,9919,479,49.57,69.64,USA,74.8
Actor,Transportation,Increasing,Low,99175.0,High School,20,5553,4822,55.35,79.76,Australia,37.16
Physiotherapist,Finance,Decreasing,Low,59064.68,Bachelor’s Degree,8,8399,8069,46.17,76.5,Canada,63.73
Quarry manager,Manufacturing,Increasing,Moderate,122704.27,PhD,17,6368,9349,2.05,86.89,Canada,51.81
Purchasing manager,Finance,Decreasing,High,130105.02,Associate Degree,8,7880,1058,73.45,72.91,India,21.3
Research scientist (physical sciences),Manufacturing,Decreasing,High,101360.85,High School,2,4844,2211,96.93,52.63,USA,32.81
Magazine features editor,Retail,Decreasing,Low,53030.79,PhD,10,5820,7499,12.01,81.41,USA,43.0
Statistician,Manufacturing,Decreasing,High,50217.56,High School,19,9663,9664,72.82,38.44,Brazil,57.86
Electronics engineer,Education,Decreasing,High,54194.76,Bachelor’s Degree,11,4159,9263,73.39,38.23,India,22.46
Location manager,Finance,Increasing,Low,98536.43,PhD,17,743,1750,12.77,0.44,Brazil,39.92
Water quality scientist,Retail,Decreasing,High,115606.2,High School,13,5895,3901,36.4,49.0,Australia,29.71
"Engineer, control and instrumentation",Healthcare,Decreasing,High,51571.45,High School,17,3421,2272,38.58,46.94,Canada,52.34
"Civil engineer, consulting",Manufacturing,Decreasing,High,97011.65,PhD,19,7807,6189,53.21,15.97,Brazil,74.32
Electrical engineer,Finance,Decreasing,Moderate,83960.23,Master’s Degree,0,9729,2828,29.26,30.69,UK,26.85
"Therapist, sports",Finance,Decreasing,High,79368.24,High School,16,9025,1448,6.16,39.09,UK,51.12
"Surveyor, quantity",IT,Increasing,Moderate,34984.63,Master’s Degree,3,950,3311,5.21,65.96,UK,31.12
Geoscientist,Education,Decreasing,Low,64258.56,Master’s Degree,10,5067,4160,18.37,3.93,USA,42.94
Bookseller,Education,Increasing,Low,106127.82,Bachelor’s Degree,0,1789,3390,46.7,22.63,USA,21.69
Community development worker,Transportation,Decreasing,Low,82538.04,PhD,0,4243,4201,42.68,89.33,Germany,33.62
Broadcast presenter,Entertainment,Increasing,High,74114.64,High School,20,7595,1814,48.76,57.59,UK,47.5
Therapeutic radiographer,Retail,Decreasing,Low,79045.54,High School,9,1239,6375,55.69,93.28,USA,74.18
Dietitian,Entertainment,Decreasing,Low,119678.27,Associate Degree,2,6149,3761,21.74,19.03,USA,77.19
Fish farm manager,Healthcare,Increasing,Moderate,80304.85,High School,1,8416,3540,84.68,44.93,Australia,43.22
"Lighting technician, broadcasting/film/video",Manufacturing,Increasing,High,111529.67,Bachelor’s Degree,1,1693,7962,71.65,80.87,Germany,42.35
Immigration officer,Healthcare,Increasing,Low,129734.43,Bachelor’s Degree,8,3709,5027,82.53,24.34,Germany,45.73
Writer,Education,Increasing,Low,126004.25,PhD,16,9530,3369,29.69,98.51,India,71.11
"Engineer, land",Retail,Decreasing,High,126246.82,PhD,12,1594,9325,96.62,36.51,China,45.02
Lobbyist,Education,Decreasing,High,97538.2,PhD,5,9439,3129,2.57,53.5,Brazil,39.06
Mining engineer,Transportation,Decreasing,Moderate,47087.42,High School,17,2873,953,32.21,12.18,Canada,34.36
Hospital pharmacist,Education,Decreasing,Moderate,65638.34,Master’s Degree,17,9172,5191,8.14,29.43,Canada,40.79
Herpetologist,Finance,Decreasing,High,121574.39,Associate Degree,2,6035,5976,61.25,27.64,Canada,21.01
"Designer, multimedia",Healthcare,Increasing,High,120522.16,Associate Degree,18,4825,1795,26.19,2.3,China,24.31
Scientific laboratory technician,Transportation,Increasing,Moderate,124157.52,Associate Degree,0,3581,8855,46.72,46.44,USA,25.78
Research scientist (maths),Transportation,Decreasing,Low,141308.38,PhD,14,706,7216,29.54,24.08,Australia,73.29
"Secretary, company",Entertainment,Decreasing,Low,87650.99,Associate Degree,4,8670,8154,28.57,4.25,Germany,63.74
"Conservator, furniture",Entertainment,Increasing,High,139276.95,High School,0,6285,8015,64.07,8.61,India,34.09
Tax adviser,Entertainment,Increasing,Low,59340.26,Associate Degree,19,6925,4050,39.52,23.78,USA,25.19
Volunteer coordinator,Education,Increasing,Low,108001.62,Bachelor’s Degree,3,1447,7978,58.42,73.73,Germany,64.2
Commercial horticulturist,Manufacturing,Decreasing,High,147822.58,Associate Degree,20,3967,4554,37.95,50.25,Germany,74.76
Minerals surveyor,Education,Increasing,Moderate,42564.87,PhD,4,3299,1626,58.12,83.72,Australia,50.47
Orthoptist,Finance,Decreasing,Moderate,63500.19,PhD,4,3227,9240,47.23,97.24,USA,39.15
Minerals surveyor,Education,Decreasing,Low,134405.75,Master’s Degree,11,7683,1530,33.94,98.85,Germany,23.41
Company secretary,Finance,Increasing,High,105567.0,Associate Degree,18,9794,4339,32.82,51.6,China,39.13
Research scientist (medical),Manufacturing,Decreasing,High,46821.62,PhD,17,4144,2378,61.12,19.46,India,53.78
Museum education officer,Transportation,Increasing,Moderate,96542.08,Bachelor’s Degree,13,3330,9956,39.27,50.47,Germany,21.23
Health and safety inspector,Retail,Increasing,Low,84206.37,PhD,20,8122,423,92.72,36.83,Brazil,57.87
Facilities manager,Finance,Decreasing,Low,92357.13,Bachelor’s Degree,15,4302,547,38.87,90.19,USA,70.88
Chartered certified accountant,Manufacturing,Increasing,Moderate,47975.73,Master’s Degree,2,4676,9810,82.43,72.76,India,45.95
"Surveyor, building",Finance,Increasing,High,131314.4,Bachelor’s Degree,0,976,6714,31.06,34.22,Germany,52.73
Insurance claims handler,Finance,Increasing,High,112427.88,Associate Degree,20,4154,1194,60.29,83.66,Canada,44.11
Estate manager/land agent,Retail,Increasing,Moderate,50494.56,Bachelor’s Degree,12,7990,7219,59.89,52.8,UK,24.94
Commissioning editor,Transportation,Decreasing,High,56208.22,High School,20,299,4913,30.41,40.16,Brazil,33.75
Water engineer,Retail,Decreasing,High,124281.56,High School,1,7418,7480,87.98,14.34,Germany,48.84
Agricultural engineer,Manufacturing,Decreasing,High,91481.52,PhD,11,7539,6221,53.37,25.79,Germany,34.22
Aid worker,Retail,Increasing,High,57188.38,High School,14,7782,6199,63.69,22.19,Brazil,55.34
Newspaper journalist,Education,Increasing,Moderate,144854.66,PhD,19,6951,6132,68.08,2.13,Australia,61.21
Holiday representative,Entertainment,Decreasing,High,89712.79,High School,8,4941,8153,28.59,79.84,Brazil,21.15
Planning and development surveyor,IT,Decreasing,Moderate,42714.49,Master’s Degree,10,7107,7135,62.08,87.16,China,77.26
IT consultant,Finance,Increasing,Low,38711.73,Bachelor’s Degree,5,6997,4788,3.95,11.69,Australia,57.81
Environmental health practitioner,Manufacturing,Increasing,High,93572.89,High School,5,3978,8706,97.24,82.7,China,68.02
Sales promotion account executive,Education,Increasing,Moderate,73791.19,Associate Degree,3,9804,1199,62.52,92.21,Australia,70.4
Bookseller,Transportation,Decreasing,Moderate,84674.66,Associate Degree,18,4274,4491,23.93,54.21,Australia,30.16
Fisheries officer,Finance,Decreasing,Moderate,30456.7,High School,0,8531,2642,65.73,96.49,Germany,23.6
Research scientist (life sciences),IT,Decreasing,Low,91636.07,Bachelor’s Degree,9,9927,6532,36.99,0.65,Australia,59.0
General practice doctor,Entertainment,Decreasing,Low,114735.83,Master’s Degree,0,3572,4577,7.91,50.18,Australia,23.83
Electrical engineer,Retail,Increasing,Moderate,144737.14,Master’s Degree,16,2651,524,93.43,99.59,Australia,62.26
"Engineer, electronics",Finance,Increasing,Low,81091.9,High School,3,6293,313,10.09,53.74,India,25.47
Health visitor,Manufacturing,Decreasing,Moderate,92571.0,High School,6,7792,8635,6.22,25.5,China,43.6
Sport and exercise psychologist,Education,Increasing,High,109920.16,High School,1,8165,874,21.96,45.14,USA,46.54
Research scientist (medical),Transportation,Increasing,Low,89110.69,Bachelor’s Degree,8,9958,791,38.61,29.58,Australia,31.04
Arboriculturist,Finance,Decreasing,Moderate,69439.8,Associate Degree,3,972,8870,68.13,53.35,Canada,52.05
"Development worker, international aid",Transportation,Decreasing,High,134603.44,Master’s Degree,9,8483,4160,3.62,1.87,Germany,23.23
Architect,Healthcare,Decreasing,Low,101501.28,Associate Degree,2,3868,4333,54.84,77.35,Australia,33.98
Data processing manager,Education,Decreasing,Moderate,95098.89,High School,6,4709,1584,5.9,74.1,China,26.17
Audiological scientist,Entertainment,Increasing,High,102474.39,Associate Degree,2,4228,7631,58.85,4.96,USA,53.06
Food technologist,Healthcare,Increasing,Moderate,34352.8,Bachelor’s Degree,10,8036,8176,40.11,9.87,Germany,30.4
"Merchandiser, retail",Transportation,Increasing,High,93645.34,PhD,3,8249,6387,94.35,59.2,Brazil,57.6
Travel agency manager,Retail,Decreasing,High,66514.4,Associate Degree,11,7281,7060,90.21,51.26,Germany,70.86
Materials engineer,Education,Increasing,High,133965.96,PhD,4,9249,3361,2.85,92.62,India,75.2
Gaffer,IT,Increasing,Moderate,73479.5,Associate Degree,2,209,861,12.54,22.35,Germany,32.22
Scientific laboratory technician,Retail,Decreasing,Moderate,93274.84,High School,8,3896,1703,60.02,45.69,Brazil,64.1
"Runner, broadcasting/film/video",Retail,Increasing,Moderate,63719.54,Master’s Degree,10,6028,7503,64.54,28.67,Canada,28.06
Politician's assistant,Manufacturing,Decreasing,Moderate,98789.1,Master’s Degree,14,7368,1190,65.98,72.76,UK,27.17
Chartered certified accountant,Retail,Increasing,High,58530.17,PhD,10,9573,6027,3.27,35.8,Canada,73.04
"Designer, textile",IT,Increasing,Moderate,77865.61,High School,15,7641,5263,99.06,66.09,India,53.8
Furniture designer,Manufacturing,Decreasing,High,30667.37,Master’s Degree,5,7693,9970,47.77,58.77,Germany,71.26
Call centre manager,Finance,Increasing,Moderate,36711.94,Associate Degree,7,9639,743,25.75,44.49,Canada,20.32
Lawyer,Manufacturing,Decreasing,High,107969.24,PhD,12,4815,8164,44.7,19.74,USA,74.7
Medical technical officer,Healthcare,Decreasing,Moderate,102729.62,Associate Degree,11,2828,9681,74.7,1.29,Canada,68.21
Ophthalmologist,Education,Increasing,Moderate,146413.49,PhD,5,4361,8924,61.98,46.98,Brazil,76.5
Ergonomist,Manufacturing,Increasing,Low,59312.5,Associate Degree,4,6719,4498,46.38,96.8,China,47.78
Barista,Education,Decreasing,Low,47459.63,PhD,4,7575,6354,56.88,2.74,Australia,34.37
Conference centre manager,Transportation,Decreasing,High,139235.89,High School,8,8833,1363,68.23,56.52,India,45.91
Trading standards officer,Education,Decreasing,Moderate,146082.58,Bachelor’s Degree,16,3283,8964,14.0,31.55,Brazil,39.39
Microbiologist,Education,Increasing,Moderate,34167.81,Master’s Degree,12,2323,4502,63.89,97.81,Germany,29.56
Mining engineer,Finance,Increasing,Moderate,32208.08,Bachelor’s Degree,16,1054,2610,42.9,55.99,Brazil,21.47
Systems developer,Education,Increasing,Moderate,99728.68,PhD,5,297,5297,50.75,31.16,Brazil,60.78
Music tutor,Transportation,Decreasing,Low,101394.54,PhD,11,3670,4177,57.44,92.08,India,44.42
Risk analyst,Manufacturing,Increasing,Low,76005.6,High School,20,363,8870,53.81,13.03,China,56.75
Financial adviser,IT,Increasing,Low,84176.88,PhD,4,1340,2308,83.89,64.37,India,56.57
Sports coach,Finance,Decreasing,High,36662.34,Master’s Degree,5,733,6362,79.48,60.93,Canada,27.95
Metallurgist,Manufacturing,Increasing,High,143045.3,PhD,8,5663,3970,69.27,34.61,Brazil,65.1
Tourism officer,Manufacturing,Increasing,Low,146536.8,High School,9,1024,8678,28.44,85.76,China,67.82
Advertising copywriter,Transportation,Decreasing,High,130681.06,Master’s Degree,4,5292,8026,47.34,12.78,India,34.61
Barrister's clerk,IT,Decreasing,High,51365.28,Bachelor’s Degree,18,3695,236,93.99,44.99,Brazil,21.52
Quality manager,Healthcare,Decreasing,Low,46159.5,PhD,3,588,4964,13.95,65.11,India,71.41
Mechanical engineer,Manufacturing,Increasing,Low,96368.71,PhD,9,2338,1198,41.95,2.8,China,20.94
"Sound technician, broadcasting/film/video",Healthcare,Decreasing,High,105905.06,Associate Degree,13,8841,2510,63.85,84.86,China,37.69
Merchant navy officer,Retail,Increasing,High,105851.86,High School,8,2521,7048,54.68,81.47,Australia,59.54
Insurance claims handler,Entertainment,Decreasing,Low,146948.79,Associate Degree,13,3743,4655,83.55,28.75,China,20.41
"Horticulturist, commercial",Retail,Increasing,High,129907.46,High School,2,8010,7821,77.01,60.67,Canada,65.89
Charity fundraiser,Finance,Decreasing,Moderate,57640.47,High School,20,3412,535,39.55,6.91,India,68.93
Quantity surveyor,Transportation,Increasing,High,53764.84,PhD,2,5348,6781,83.11,32.97,Canada,56.02
Graphic designer,Entertainment,Decreasing,High,41817.15,High School,2,1266,2580,73.68,55.09,USA,24.25
Social researcher,Education,Increasing,High,33456.93,Master’s Degree,3,7488,5993,28.09,86.2,Brazil,65.59
Claims inspector/assessor,Transportation,Increasing,High,65492.06,Bachelor’s Degree,19,4382,6802,38.6,46.96,Brazil,41.7
Interpreter,Education,Decreasing,Low,56726.62,PhD,16,7013,5466,5.72,77.83,India,59.82
