"Title","Link","Metascore","ReleaseDate","Description","Developer","Publisher","Platforms","Genre"
"Virtua Fighter 4","https://www.metacritic.com/game/virtua-fighter-4/","94",2002-03-17,"Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]","Sega AM2","Sega","PlayStation 2","3D Fighting"
"Super Smash Bros. Brawl","https://www.metacritic.com/game/super-smash-bros-brawl/","93",2008-03-09,"[Metacritic's 2008 Wii Game of the Year]  Super Smash Bros. Brawl is the next installment in the Smash Bros. series for the company's Wii console. Among the new characters playable in the game are Meta Knight, the sword-wielding nemesis of Kirby; Pit, the angelic archer from Kid Icarus; Zero Suit Samus, the powerful Metroid series heroine minus her versatile armor; and Wario, who demonstrates a noxious attack of gastronomic proportions. Also Snake, the gritty soldier from Konami's hugely popular Metal Gear series. [Nintendo]","Game Arts","Nintendo","Wii","2D Fighting"
"Company of Heroes","https://www.metacritic.com/game/company-of-heroes/","93",2006-09-13,"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]","Relic Entertainment","THQ","PC, iOS (iPhone/iPad)","Real-Time Strategy"
"Gran Turismo 2","https://www.metacritic.com/game/gran-turismo-2/","93",1999-12-23,"The world's most advanced racing game returns with thunderous new features.

Over 500 racing machines from world-class manufacturers.

- All vehicles are designed according to their exact specifications and are fully customizable.
- Insane Arcade mode with power slides, burnouts, jumps and excessive speeds
- Killer soundtrack from star-studded bands
- Benchmark 3D graphics
- Intense two player racing","Polyphony Digital","SCEA","PlayStation, Dreamcast","Auto Racing Sim"
"The Last of Us Part II","https://www.metacritic.com/game/the-last-of-us-part-ii/","93",2020-06-19,"Five years after their dangerous journey across the post-pandemic United States, Ellie and Joel have settled down in Jackson, Wyoming. Living amongst a thriving community of survivors has allowed them peace and stability, despite the constant threat of the infected and other, more desperate survivors. When a violent event disrupts that peace, Ellie embarks on a relentless journey to carry out justice and find closure. As she hunts those responsible one by one, she is confronted with the devastating physical and emotional repercussions of her actions.","Naughty Dog","Sony Interactive Entertainment","PlayStation 4","Survival"
"Tom Clancy's Splinter Cell: Pandora Tomorrow","https://www.metacritic.com/game/tom-clancys-splinter-cell-pandora-tomorrow/","93",2004-03-23,"Tom Clancy's Splinter Cell: Pandora Tomorrow, the sequel to the stealth-action game Splinter Cell, once again casts you in the role of Sam Fisher, who is sent in to destroy top-secret documentation held in the embassy of militia leader Suhadi Sadono.  Use all-new moves and prototype gear to infiltrate buildings and spare the hostages.  This time, you can take your games of espionage against three other players in online multiplayer mode, in which you choose to play as either a mercenary or spy.  You've got the moves and the gear, now put them to use.","Ubisoft Shanghai","Ubisoft","Xbox, PlayStation 2, PlayStation 3, PC, GameCube, Game Boy Advance, Xbox 360","Action Adventure"
"Grand Theft Auto: Chinatown Wars","https://www.metacritic.com/game/grand-theft-auto-chinatown-wars/","93",2009-03-17,"Grand Theft Auto: Chinatown Wars is an entirely original entry into the critically acclaimed Grand Theft Auto series, and brings a new level of interactivity to its sprawling open environments. With the use of the DS touch screen, players navigate their way through the streets as they uncover the truth behind an epic tale of crime and corruption within the Triad crime syndicate, delivering the unprecedented amount of depth that has become a true trademark of the franchise.","Rockstar Leeds","Rockstar Games","DS, PSP, iOS (iPhone/iPad)","Open-World Action"
"Pac-Man Championship Edition DX","https://www.metacritic.com/game/pac-man-championship-edition-dx/","93",2010-11-17,"PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player's pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode.","Namco Bandai Games","Namco Bandai Games","Xbox 360, PlayStation 3, iOS (iPhone/iPad)","Arcade"
"Dwarf Fortress","https://www.metacritic.com/game/dwarf-fortress/","93",2006-08-08,"The deepest, most intricate simulation of a world that's ever been created. The legendary Dwarf Fortress is now on Steam. Build a fortress and try to help your dwarves survive against a deeply generated world.","Bay 12 Games","Bay 12 Games","PC","Management"
"Half-Life: Alyx","https://www.metacritic.com/game/half-life-alyx/","93",2020-03-23,"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity's only chance for survival. The Combine's control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance. As founders of a fledgling resistance, you've continued your clandestine scientific activityperforming critical research, and building invaluable tools for the few humans brave enough to defy the Combine. Every day, you learn more about your enemy, and every day you work toward finding a weakness.

ABOUT GAMEPLAY IN VR:

Valve's return to the Half-Life universe that started it all was built from the ground up for virtual reality. VR was built to enable the gameplay that sits at the heart of Half-Life.

Immerse yourself in deep environmental interactions, puzzle solving, world exploration, and visceral combat.

Lean to aim around a broken wall and under a Barnacle to make an impossible shot. Rummage through shelves to find a healing syringe and some shotgun shells. Manipulate tools to hack alien interfaces. Toss a bottle through a window to distract an enemy. Rip a Headcrab off your face and throw it at a Combine soldier.

Extra content for Index owners
Customers who have purchased Valve Index hardware by the end of 2019 will have access to unique bonuses starting early next year:

* Explore environments from Half-Life: Alyx in your SteamVR Home space
* Alternate gun skins to embellish Alyx's arsenal
* Special Half-Life: Alyx-themed content for Counter-Strike: Global Offensive and Dota 2

Community-built environments

* A set of Source 2 tools for building new environments will ship with the game, enabling any player to build and contribute new environments for the community to enjoy. Hammer, Valve's level authoring tool, has been updated with all of the game's virtual reality gameplay tools and components.","Valve Software","Valve Software","PC","FPS"
"Divinity: Original Sin II","https://www.metacritic.com/game/divinity-original-sin-ii/","93",2017-09-14,"Master deep, tactical combat. Join up to 3 other players - but know that only one of you will have the chance to become a God.","Larian Studios Games","Larian Studios Games","PC","Western RPG"
"Unreal Tournament 2004","https://www.metacritic.com/game/unreal-tournament-2004/","93",2004-03-16,"Reload, rev up and ride out. The new Tournament is faster, higher and meaner. Land and air based vehicles take combat to a new level; while an arsenal of new weaponry, daunting arenas and battlefields and the challenge of the Assault and Onslaught modes make the gladiator blood sport of the future a brand new experience. Buckle up; it?s gonna be one hell of a ride!  [Atari]","Epic Games","Atari SA","PC","FPS"
"Braid","https://www.metacritic.com/game/braid/","93",2008-08-06,"[Xbox Live Arcade]  Braid is a puzzle-platformer, drawn in a painterly style, where the player manipulates the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more. Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world. Braid is a 2-D platform game where you can never die and never lose. Despite this, Braid is challengingâ??but the challenge is about solving puzzles, rather than forcing you to replay tricky jumps. Travel through a series of worlds searching for puzzle pieces, then solving puzzles by manipulating time: rewinding, creating parallel universes, setting up pockets of dilated time. The gameplay feels fresh and new; the puzzles are meant to inspire new ways of thinking. [Microsoft]","Number None Inc.","Number None Inc.","Xbox 360, PC, PlayStation 3","2D Platformer"
"God of War II","https://www.metacritic.com/game/god-of-war-ii/","93",2007-03-13,"[Metacritic's 2007 PS2 Game of the Year]  God of War saw Kratos, a mortal warrior, set upon an epic quest to dethrone a God. But his journey did not end there. In God of War II, Kratos sits atop his Olympus throne, as the new God of War – far more ruthless than Ares ever was. To end his continued torment, Kratos must journey to the far reaches of the earth and defeat untold horrors and alter that which no mortal, or god has ever changed, his fate. God of War II sets an epic stage for a devastating mythological war to end all wars. In God of War II, players retake the role of Kratos. Armed with the deadly blades and blistering rage, players are aided by new breath-taking magic and new brutal combat moves. The journey takes them through vividly striking environments where they are faced with a labyrinth of challenging puzzles and mini-games intricately woven into the story. The violent world of Greek mythology comes to life in gory detail as Kratos encounters new mythical characters, and compete in epic boss battles in his quest. [SCEA]","SCE Santa Monica","SCEA","PlayStation 2, PlayStation 3","Linear Action Adventure"
"Super Mario 3D World","https://www.metacritic.com/game/super-mario-3d-world/","93",2013-11-22,"Work together with  your friends or compete for the crown in the first multiplayer 3D Mario game for the Wii U console. In the Super Mario 3D World game, players can choose to play as Mario, Luigi, Princess Peach or Toad.","Nintendo","Nintendo","Wii U","3D Platformer"
"Starcraft II: Wings of Liberty","https://www.metacritic.com/game/starcraft-ii-wings-of-liberty/","93",2010-07-27,"StarCraft II continues the epic saga of the Protoss, Terran, and Zerg. These three distinct and powerful races clash once again in the fast-paced real-time strategy sequel to the legendary original, StarCraft. Legions of veteran, upgraded, and brand-new unit types do battle across the galaxy, as each faction struggles for survival. Featuring a unique single-player campaign that picks up where StarCraft: Brood War left off, StarCraft II presents a cast of new heroes and familiar faces in an edgy sci-fi story filled with adventure and intrigue. In addition, Blizzard again offers unparalleled online play through Battle.net, the company's world-renowned gaming service, with several enhancements and new features to make StarCraft II the ultimate competitive real-time strategy game. Features fast-paced, hard-hitting, tightly balanced competitive real-time strategy gameplay that recaptures and improves on the magic of the original game. New units and gameplay mechanics further distinguish each race. Vibrant new 3D-graphics engine with support for dazzling visual effects and massive unit and army sizes. Full map-making and scripting tools to give players incredible freedom in customizing and personalizing their gameplay experience. [Blizzard]","Blizzard Entertainment","Blizzard Entertainment","PC","Command RTS"
"SSX (2000)","https://www.metacritic.com/game/ssx-2000/","93",2000-10-30,"Remember when snowboard sims used to suck?  The times have truly changed with the monster speed, detailed tracks and super-fast frame rates of EA's first extreme sports game for the PS2.","EA Sports Big","EA Sports Big","PlayStation 2","Skiing"
"Street Fighter IV","https://www.metacritic.com/game/street-fighter-iv/","93",2009-02-17,"Street Fighter IV features a mix of returning favourites such as Ryu, Ken, Chun-Li and Guile along with new characters created exclusively for this game such as Crimson Viper, Abel, El Fuerte, and Rufus. Characters and environments are rendered in high definition 3D, while the game is played in the classic Street Fighter 2D perspective with additional 3D camera flourishes. Six-button controls for the game return, with a host of new special moves and features integrated into the input system. Street Fighter IV also incorporates state of the art online match making and worldwide online gameplay. Mixing classic genre-defining game mechanics the franchise is known and loved for with all-new, never-before-seen gameplay systems, Street Fighter IV brings a brand new fighting game to fans the world over. With the inclusion of Capcom's latest advancements in new generation technology, Street Fighter IV promises to deliver an extraordinary experience that will re-introduce the world to the time-honoured art of virtual martial arts. New special moves that go beyond any Street Fighter fan's wildest imagination, including Focus attacks, Super Combos, and the revenged-fueled Ultra Combo system. Classic Street Fighter characters recreated for a new generation of gamers, including the original cast of Street Fighter II. New brawlers: female super-spy Crimson Viper, lucha libre wrestler El Fuerte, mixed martial artist Abel and more. New gameplay elements provide new challenges for both newcomers and the most seasoned Street Fighter pro. Online gameplay features, including instantaneous online challenges, versus mode, tournament mode, and world wide online gameplay. [Capcom]","Capcom","Capcom","PlayStation 3, Xbox 360, PC, iOS (iPhone/iPad)","2D Fighting"
"Minecraft","https://www.metacritic.com/game/minecraft/","93",2011-11-18,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.","Mojang AB","Mojang AB","PC, Nintendo Switch, PlayStation 5, 3DS, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox 360, Xbox One","Sandbox"
"Persona 4 Golden","https://www.metacritic.com/game/persona-4-golden/","93",2012-11-20,"Persona 4: The Golden is a remastered version of PS2 classic Shin Megami Tensei: Persona 4.","Atlus","Atlus","PlayStation Vita, PC, Xbox Series X, Xbox One, PlayStation 4, Nintendo Switch","JRPG"
"Persona 5","https://www.metacritic.com/game/persona-5/","93",2017-04-04,"Persona 5 is the fifth entry in the Persona series.","Atlus","Atlus","PlayStation 3, PlayStation 4","JRPG"
"SSX 3","https://www.metacritic.com/game/ssx-3/","93",2003-10-20,"Embark on the ultimate adventure and conquer the mountain with SSX 3. Life begins at the summit where a wide-open mountain awaits you -- board it, explore it, and beat it. Featuring all-new freestyle events and race courses, jaw-dropping tricks, and a cast of cool, customizable characters, SSX 3 is yours to conquer. Redefine the boundaries what you do and what you earn, and go anywhere gravity takes you with SSX 3!  [Electronic Arts]","EA Canada","EA Sports Big","Game Boy Advance, PlayStation 2, Xbox, GameCube","Skiing"
"Quake III Arena","https://www.metacritic.com/game/quake-iii-arena-1999/","93",2000-10-22,"Quake III Arena offers a complete deathmatch experience. The game features new 3D arenas, weapons, and character models.","Raster","Sega","PC, Dreamcast","FPS"
"Tom Clancy's Splinter Cell","https://www.metacritic.com/game/tom-clancys-splinter-cell/","93",2002-11-17,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.","Ubisoft Montreal","Ubisoft","Xbox, PC, PlayStation 2, GameCube, Game Boy Advance, PlayStation 3","Action Adventure"
"Homeworld","https://www.metacritic.com/game/homeworld/","93",1999-08-31,"Deported to a harsh desert world, exiles have struggled for three thousand years to regain the stars. Now it's up to you to guide them home through a brutal empire bent on annihilation. Homeworld boasts amazing ship graphics and gorgeous deep-space vistas, a unique command and navigation interface and white-knuckle real-time strategy. [Sierra]","Relic Entertainment","Sierra Entertainment","PC","Command RTS"
"Okami","https://www.metacritic.com/game/okami/","93",2006-09-19,"In Okami, the legendary monster Orochi has come back to life and turned the world into a veritable wasteland. Players must assume the role of a wolf, an embodiment of the sun god Amaterasu, which is capable of wielding unimaginable power. The state of the world lies in gamer's hands as they must fight ominous beings and reclaim the earth from a curse that plagues it. It is crucial to help Amaterasu make the world a place where all living creatures can dwell once again. [Capcom]","Clover Studio","Capcom","PlayStation 2, Wii","Action Adventure"
"Fallout 3","https://www.metacritic.com/game/fallout-3/","93",2008-10-28,"[Metacritic's 2008 PC Game of the Year] Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters. Every minute is a fight for survival against the terrors of the outside world – radiation, Super Mutants, and hostile mutated creatures. From Vault-Tec, America's First Choice in Post Nuclear Simulation. Vault 101 - Jewel of the Wastes. For 200 years, Vault 101 has faithfully served the surviving residents of Washington DC and its environs, now known as the Capital Wasteland. Though the global atomic war of 2077 left the US all but destroyed, the residents of Vault 101 enjoy a life free from the constant stress of the outside world. Giant Insects, Raiders, Slavers, and yes, even Super Mutants are all no match for superior Vault-Tec engineering. Yet one fateful morning, you awake to find that your father has defied the Overseer and left the comfort and security afforded by Vault 101 for reasons unknown. Leaving the only home you've ever known, you emerge from the Vault into the harsh Wasteland sun to search for your father, and the truth. [Bethesda Softworks]","Bethesda Game Studios","Bethesda Softworks","PC, PlayStation 3, Xbox 360","Western RPG"
"Gears of War 2","https://www.metacritic.com/game/gears-of-war-2/","93",2008-11-07,"Gears of War 2 builds upon the gameplay of the first title in every way. First, the scope of the action is bigger: new characters, more weapons, nastier enemies, bigger vehicles, and grander locales offer more action, more emotion, and more thrills. Next, every major aspect of the game has been refined to create heightened, more immersive experiences. Finally, the overall tone of Gears of War 2 is more badass: replete with new weapon-specific executions, chainsaw duels, and shocking boss fights. Gears of War 2 raises the graphics bar for next-generation games through its breathtaking visual effects, which are made possible through advances in Unreal Engine 3. New visual effects include ambient occlusion, dynamic shadows, improved character lighting, the ability to render hundreds of on-screen characters simultaneously, improved water physics, additional blood and bullet decals, advanced destructible environments, new weather effects, and the introduction of fluid objects. When combined with the sweeping vistas and evocative locales in the world of Sera where the Gears of War 2 story unfolds, these additions help make this the most gorgeous game available this generation. Gears of War 2 continues to push deep, immersive storytelling in video games to greater heights. Humanity's epic battle for survival is felt on both the personal and epic levels as you explore multiple story arcs that introduce new characters and flesh out the histories of familiar ones. A new in-game conversational camera system also helps bring the compelling story to life in a cinematic fashion. [Microsoft]","Epic Games","Microsoft Game Studios","Xbox 360","Third Person Shooter"
"SoulCalibur II","https://www.metacritic.com/game/soulcalibur-ii/","93",2003-08-27,"Open the next chapter in world of Soul Calibur.  Soul Calibur II features seven distinctive gameplay modes including: Arcade, Versus, Time Attack, Survival, Team Battle, Practice, and the console exclusive Weapon Master.  Collect up to 200 different weapons and battle characters with their own styles, strengths, and abilities.  In addition to the 13 fighters, each platform has unique special fighters:  Link for GameCube, Heihachi for PS2, and Spawn for Xbox.  Prove yourself through soul and sword.","Namco","Namco","PlayStation 2, GameCube, Xbox","3D Fighting"
"Pro Evolution Soccer 2","https://www.metacritic.com/game/pro-evolution-soccer-2/","93",2003-03-11,"North America, the wait is over. Experience the most realistic virtual recreation of the sport to date. Life-like player models, staggeringly realistic animations, and renowned gameplay bring a soccer experience that can't be beat. This critically acclaimed title is the must have soccer game of the year. Find out what you've been missing. Create your own dream team in the Master League. [Konami]","KCET","Konami","PlayStation, PlayStation 2","Soccer Sim"
"Mass Effect 3","https://www.metacritic.com/game/mass-effect-3/","93",2012-03-06,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth.","BioWare","Electronic Arts","Xbox 360, PC, PlayStation 3, Wii U","Action RPG"
"Metal Gear Solid V: The Phantom Pain","https://www.metacritic.com/game/metal-gear-solid-v-the-phantom-pain/","93",2015-09-01,"Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise.","Kojima Productions, Moby Dick Studio","Konami","Xbox 360, PlayStation 3, Xbox One, PlayStation 4, PC","Open-World Action"
"Skies of Arcadia","https://www.metacritic.com/game/skies-of-arcadia/","93",2000-11-13,"The age of exploration has dawned and you are about to embark on a magical journey, a voyage of discovery across the vast Skies of Arcadia in search of treasures untold, and where there is treasure, there will be Air Pirates! With over six vast lands to navigate, magnificent ships to fly and customize, a host of weapons and magical spells to be discovered and unique Internet functions to aid your quest, Skies of Arcadia is the most immense gaming experience ever created.","Overworks","Sega","Dreamcast, PlayStation 2, GameCube","JRPG"
"The Legend of Zelda: Skyward Sword","https://www.metacritic.com/game/the-legend-of-zelda-skyward-sword/","93",2011-11-20,"A Link to the Future - The Legend of Zelda: Skyward Sword shakes up the tried-and-true adventure game formula and marks a turning point for the franchise. The introduction of full motion controls enabled by Wii MotionPlus technology synchronizes player movements with Link's actions while offering the most intuitive play control of any game in the series to date.

FEATURES:

    * The Legend of Zelda: Skyward Sword boasts the most realistic sword combat of any game to date, turning every encounter into a challenge of both brains and brawn. Wii MotionPlus technology accurately translates the angle of every sword slice, effectively putting Link's blade in the player's hand. Analyzing enemy attack and defense tendencies and counteracting with precise swings of the sword provide a satisfying experience that blends puzzle-solving with a new and distinctly unique combat system.

    * Explore a massive, multilayered world that seamlessly blends soaring exploration in a sea of clouds with intense ground-based adventuring that blurs the line between the main world and traditional Zelda dungeons. Link soars through the skies on the back of a noble bird and dives beneath the clouds to the continent below in an epic quest that lays the foundation for the events in the critically acclaimed The Legend of Zelda: Ocarina of Time.

    * Prepare for intense puzzle-solving as only The Legend of Zelda games can deliver. Exploration of the forests, volcanoes and deserts requires players to think on their feet as they solve puzzles, overcome obstacles and escape deadly traps. Once they find their way to each dungeon, they are confronted by even more puzzles guarded by fiendish enemies.

    * The Legend of Zelda: Skyward Sword redefines the traditional Zelda framework and introduces an arsenal of items, upgrades and rewards unlike any game in the franchise to date. The adventure guides players into, out of and back to dungeons and areas they've already completed. Along the way, Link gathers a massive inventory of peculiar items and resources that can be used to upgrade many of his weapons and equipment.
    * Every copy in the initial production of the game will come packaged with a special music CD featuring orchestral arrangements of select songs that will be performed at The Legend of Zelda 25th Anniversary Symphony Concert.
    * This version of The Legend of Zelda: Skyward Sword comes packaged with a special Gold Wii Remote Plus controller. You can also purchase a copy of the game without a controller.","Nintendo","Nintendo","Wii","Open-World Action"
"Mario Kart: Super Circuit","https://www.metacritic.com/game/mario-kart-super-circuit/","93",2001-08-26,"Whoever hands out driver's licenses in the Mushroom Kingdom is about to be in some serious trouble.  Classic Mario Kart action is back once again, this time in a colorful, lightning-fast game that you can take anywhere.  Mario, Luigi, Peach, Toad, Wario, Yoshi, and Bowser are all tearing up the track, tossing Koopa Shells and laying banana peels along the way. Mario Kart: Super Circuit puts your driving skills to the test on 40 tracks, each littered with wild weapons and obstacles.  Four players can compete in Mario Kart: Super Circuit using only one Game Pak.  If each player has a copy of the game, bonus features and new modes of play become available.","Intelligent Systems","Nintendo","Game Boy Advance","Auto Racing"
"Rock Band 3","https://www.metacritic.com/game/rock-band-3/","93",2010-10-26,"Rock Band returns with another iteration of the popular music game featuring new songs and instruments.","Harmonix Music Systems","MTV Games","Xbox 360, PlayStation 3, Wii, DS","Rhythm"
"Viewtiful Joe","https://www.metacritic.com/game/viewtiful-joe/","93",2003-10-07,"Joe is no ordinary man and Viewtiful Joe is no ordinary game. Capcom's new superhero action game mixes funky cartoon-style visuals with classic side-scrolling gameplay and introduces the world's quirkiest million dollar action hero. More than just any ordinary dude, Joe must transform into the ultimate superhero. It's up to you to activate the correct view mode like &quot;slow&quot; or &quot;zoom in&quot; in order to clobber your enemies with beautiful style. You can also speed up or slow down your visual effects for even more &quot;viewtiful&quot; moves. Viewtiful Joe mixes an innovative viewpoint with an amazing stunt-filled action movie universe.","Clover Studio","Capcom","GameCube, PlayStation 2","2D Beat-'Em-Up"
"NBA 2K1","https://www.metacritic.com/game/nba-2k1/","93",2000-11-01,"Visual Concepts has tweaked and buffed out the annoying gameplay traits that plagued its original hoops game, and the result is a highly polished product.","Visual Concepts","Sega","Dreamcast","Basketball Sim"
"Hades","https://www.metacritic.com/game/hades/","93",2020-09-17,"Defy the god of death as you hack and slash your way out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion and Transistor.","Supergiant Games","Supergiant Games","PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)","Roguelike"
"Resident Evil 4","https://www.metacritic.com/game/resident-evil-4/","93",2023-03-24,"Resident Evil 4, 2005’s legendary survival horror, is brought fully up-to-date in this ground-up remake. Six years after the events of Resident Evil 2, Raccoon City survivor Leon Kennedy has been dispatched to a secluded European village to investigate the disappearance of the US president’s daughter. What he discovers there is unlike anything he has faced before. Every aspect of the classic game has been updated for the current generation, from modernized graphics and controls, to a reimagined storyline that may surprise even hardened fans of the original game.","Capcom","Capcom","PlayStation 5, Xbox Series X, PC, PlayStation 4, iOS (iPhone/iPad)","Survival"
"Virtua Fighter 4: Evolution","https://www.metacritic.com/game/virtua-fighter-4-evolution/","93",2003-08-13,"Challenge a steady stream of opponents with varying ranks and skill levels, with the impression that you're playing online against human opponents with different styles. Along with this illusion of online play, Virtua Fighter 4 has also been expanded upon, including the roster, the character customization features, the visuals, the training mode, and even the arcade mode. With the different tournaments and two new characters to explore, VF4: Evolution will put your fighting skills to the ultimate test.","Sega","Sega","PlayStation 2","3D Fighting"
"Uncharted 4: A Thief's End","https://www.metacritic.com/game/uncharted-4-a-thiefs-end/","93",2016-05-10,"Set 3 years after the events of Uncharted 3, Nathan Drake has apparently left the world of fortune hunting behind. However, it doesn’t take long for adventure to come calling when Drake’s brother, Sam, re-emerges asking for his help to save his own life and offering an adventure Drake cannot resist. On the hunt for Captain Henry Avery’s long-lost treasure, Sam and Drake embark on a journey to find Libertalia, the pirate utopia deep in the forests of Madagascar. Uncharted 4: A Thief’s End takes players around the globe, through jungle isles, urban cities and snow-capped peaks on the search for Avery’s fortune. [Naughty Dog]","Naughty Dog","Sony Interactive Entertainment","PlayStation 4","Linear Action Adventure"
"Super Smash Bros. Ultimate","https://www.metacritic.com/game/super-smash-bros-ultimate/","93",2018-12-07,"Inklings from the Splatoon series, as well as returning Smash characters like Mario and Link will be making appearances in this classic Nintendo franchise's Switch debut. Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.","Nintendo, Sora Ltd.","Nintendo","Nintendo Switch","2D Fighting"
"Paper Mario","https://www.metacritic.com/game/paper-mario/","93",2001-02-05,"Mario pals around in an all-new action adventure! Mario's back in his first adventure since Super Mario 64, and this time, Bowser's bent on preventing a storybook ending. When Princess Peach is kidnapped, Mario plots to rescue the seven Star Spirits and rid the Mushroom Kingdom of Koopa's cruel cohorts. As he travels from the tropical jungles of Lavalava Island to the frosty heights of Shiver Mountain, he'll meet up with seven all-new companions... and he'll need help from each one or there'll be no happily ever after.","Intelligent Systems","Nintendo","Nintendo 64","JRPG"
"Wipeout XL","https://www.metacritic.com/game/wipeout-xl/","93",1996-09-30,"The game moves incredibly well, and looks fantastic in the process.","Psygnosis","SCEA","PC, PlayStation","Future Racing"
"INSIDE","https://www.metacritic.com/game/inside/","93",2016-06-29,"Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.","PLAYDEAD","PLAYDEAD","Xbox One, PC, PlayStation 4, Nintendo Switch, iOS (iPhone/iPad)","2D Platformer"
"World of Warcraft","https://www.metacritic.com/game/world-of-warcraft/","93",2004-11-23,"Four years have passed since the aftermath of Warcraft III: Reign of Chaos, and a great tension now smolders throughout the ravaged world of Azeroth. As the battle-worn races begin to rebuild their shattered kingdoms, new threats, both ancient and ominous, arise to plague the world once again. World of Warcraft is an online role-playing experience set in the award-winning Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world. Being ""Massively Multiplayer,"" World of Warcraft allows thousands of players to interact within the same world. Whether adventuring together or fighting against each other in epic battles, players will form friendships, forge alliances, and compete with enemies for power and glory. A dedicated live team will create a constant stream of new adventures to undertake, lands to explore, and monsters to vanquish. This content ensures that the game will never be the same from month to month, and will continue to offer new challenges and adventures for years to come. [Blizzard Entertainment]","Blizzard Entertainment","Blizzard Entertainment","PC","MMORPG"
"Flipnote Studio","https://www.metacritic.com/game/flipnote-studio/","93",2009-08-12,"[DSiWare]  Let your inner artist loose with Flipnote Studio, an easy to use and surprisingly powerful animation application. Create Flipnotes by using the stylus to write letters and draw pictures, capture sounds using the microphone, and even insert photos captured with the Nintendo DSi Camera. Save a Flipnote with multiple pages that run successively and you've just made an animated Flipnote that works like a flip book! And if you feel like sharing your masterpiece, send it to your Flipnote friends or, if you are a registered Hatena.com user, release it via Flipnote Hatena, an online service run by Japanese Web-service provider Hatena. With such a large set of tools available, you’ll quickly find that there are many ways to enjoy Flipnote Studio. [Nintendo]","Nintendo","Nintendo","DS","Application"
